,MSE,RMSE,MAE,R2
Linear Regression,1.676480274703144,1.2947896642710521,1.0750712721369127,0.263444640902195
Decision Tree Regressor,0.20104339401232235,0.44837862796114886,0.28518482376179793,0.911672334291432
Random Forest Regressor,0.13409604653292106,0.36619127042151217,0.2365909564221426,0.9410854018397915
